,用户,评级,等级,日期,内容
0,看电影的人,"['allstar10', 'rating']",很差,2021-12-31 14:09:19,这个系列火的真的很谜，尤其这一部，感觉就像是重金包装了一坨💩，海报看起来是一线大片质感，但拍的非常粗糙，整个影片包装感觉像是小学生做的PPT😮‍💨
1,破碎南瓜🎃,"['allstar30', 'rating']",还行,2021-12-31 16:57:46,項少龍為保護烏廷芳犧牲……爺青結！
2,荞麦花开,"['allstar30', 'rating']",还行,2021-12-31 16:26:04,陆志廉sir最后殉职差评（项少龙为保护乌廷芳而献身？），我还以为他和心仪他的那个女下属甜蜜成一对儿了呢。为什么不给happy ending.怒摔
3,拥桑,"['allstar10', 'rating']",很差,2021-12-31 14:21:31,"2021年度笑话，完全乱来，没有逻辑，没有节奏，只有自我感动和让人白眼的反转。也知道不想好好写了，干脆就写死主角草草结束呗。电影最魔幻的不是每个主角的「不死之身」和「火眼金睛」，而是我没见过哪个贪官会在大庭广众下自白告诉大家:""我是贪官""，我也没见过哪个幕后boss会自己嘚瑟作死自己。我也没想过从哪里看得到这些魔幻的警匪片？但是大银幕会看到。7年反贪，什么ZSLPG风暴啊，也最后随着那点烂煽情消磨殆尽了，辛苦影迷和自己给自己找罪受了7年了。谢谢我自己，也谢谢辛苦跨年夜看这电影的观众，纯找罪受。"
4,yyq,"['allstar10', 'rating']",很差,2021-12-31 14:53:41,1毛特效，1毛剧情，1毛表演，怎么加都不到5毛
5,予风,"['allstar30', 'rating']",还行,2021-12-31 15:03:37,实力派演员古校长风采依旧，演技精湛，亮点较多，剧情其实已经不重要了。
6,核仁烤排骨,"['allstar20', 'rating']",较差,2021-12-31 14:10:49,这种港片真的已经同质化到，买完票我根本不记得片名叫什么。总而言之就是够了，别拍下一部了。
7,耘忤,"['allstar30', 'rating']",还行,2022-01-01 14:25:18,ICAC就是文职嘛，你第一部玩跳楼，第二部玩摩托，第三部开快艇，第四部去卧底，第五部还扬言要开坦克车，你是想当007啊你?这下好了，真成007了！《陆志廉:无暇赴死》
8,阿Q馨,"['allstar30', 'rating']",还行,2021-12-31 15:42:33,致敬义无反顾的牺牲精神
9,即兴放映,"['allstar20', 'rating']",较差,2021-12-31 15:21:59,从未见过哪位拥有五部曲的系列主角是以这样的方式草草收场的。评分一部不如一部真的是有原因的，观众对主角没有感情，连导演都想着法儿要把他搞死。
10,果汁○,"['allstar20', 'rating']",较差,2021-12-31 15:54:41,奔着最终章的噱头去看了，真的不行。导演的调度水平实在太差，各种没用的镜头，最后的天文馆枪战大戏跟过家家一样，我看着都想笑。当然，古天乐还是帅的。
11,不留痕迹,"['allstar20', 'rating']",较差,2021-12-31 21:54:51,难看是一方面，关键是显得特别过时，就像电影里的iphone6一样。古仔一如既往的拼，但到最后的处理却这般糊弄，作为一个系列的最终章，很难让人不想骂娘。
12,孜然一身,"['allstar20', 'rating']",较差,2022-01-01 19:54:43,古天乐晚节-1，古天乐小学+1。
13,豆瓣路人己,"['allstar20', 'rating']",较差,2021-12-31 17:40:33,突然找到看这个系列的一个恶趣味，看国语配音版，非常有20年前看港片的状态。质量也是那时候的。
14,Yo酱,"['allstar50', 'rating']",力荐,2022-01-01 16:41:38,我不管，老港片就是好，不接受任何反驳。
15,Parallax...,"['allstar20', 'rating']",较差,2021-12-31 20:59:17,反贪不应主要是以文戏，以反映内部的矛盾冲突与反思的吗？这从头打到尾，未免也太火爆，太简单粗暴了。
16,Lien,"['allstar40', 'rating']",推荐,2021-12-31 14:18:13,没有看过1234直接看了终章，看完之后想回去看前作。标准的港片，不要过度追求细节逻辑的话，还是一部不错的爆米花片的，何况还有古天乐张智霖以及其他看着眼熟叫不上名字的演员，流畅度是有保证的，剧情上就跟着走就完事儿。
17,小小的Angela,"['allstar20', 'rating']",较差,2021-12-31 16:28:54,特效假，剧情乱，纯为了古天乐看的了
18,平凡之路,"['allstar20', 'rating']",较差,2022-01-02 01:39:38,"1、反贪风暴的ICAC不但查贪污，还兼职飞虎队，随时拔枪开战。
2、陆sir的创伤后应激障碍不知道在本片里起到什么作用，可能是想表达陆sir七年五部案子查下来实在太辛苦了。
3、秀恩爱，死得快，铁律啊。王蓝禄就不该从第四部的监狱里出来，果然，坐牢才是香港年轻人唯一的出路。
4、陆sir兴冲冲跑去诈大魔王，这哪里是诈，只是去装逼，然后打草惊蛇，最终炸死自己。
5、匪徒火力总是很猛，警方支援总是很慢。五部曲大男主在爆炸声中草草收场。
6、审判宣读大魔王无罪，似乎在暗示法律的局限性。走出法院，二魔王被人蛇捅死，大魔王又被二魔王捅死，强行天降正义。
7、片尾MV情怀走一波。曲终，人散。"
19,安小安,"['allstar30', 'rating']",还行,2022-01-01 11:51:21,香港电影已经把香港搞成全亚洲最不安全的城市了2333
20,刷鞋大王,"['allstar40', 'rating']",推荐,2021-12-31 18:38:31,2021最后一天&最后一部电影，还算合格的爆米花跨年片🍿开头无废话氛围即刻拉满，车战枪战都高燃无尿点，更有五大男神同台斗帅，票价值了。陆Sir，再会👋🏻
21,charliemo,"['allstar40', 'rating']",推荐,2021-12-31 14:20:52,不知道是不是上一部票房可佳剧组有钱了，这部明显编剧用心了，牵扯的案子复杂了，枪战和动作戏也劲爆了，陆威廉这个人物更加立体了，就是结尾太突然……最后主演大合唱<讲不出再见>泪奔了，古仔依旧帅
22,羽然,"['allstar40', 'rating']",推荐,2022-01-01 22:15:05,两星电影，但是张智霖他太帅了……
23,帕帕多普洛斯,"['allstar20', 'rating']",较差,2022-01-01 12:29:22,"张继聪！你背叛了全港年轻人，说好的坐牢是唯一出路，你却私下穿西装打了两份工………哦你死了，那没事了……

全片唯一亮点是结尾的说不出再见，感觉古仔自己也烦了，草，死了算了"
24,Mallory,['comment-time'],2021-12-31 17:55:01,2021-12-31 17:55:01,香港青年的出路终于不是坐监了，而是为了保护家人，与邪恶势力揽炒一起被炸死。
25,Bryan·Mai,"['allstar30', 'rating']",还行,2021-12-31 20:30:07,首先恭喜林德禄，7年5部作品，终于打磨到“能看”的地步。但是！古天乐这么恰巧就和今年某人的终局之战都是炸弹不停糊脸糊到最后，都是腹部中枪收场，甚至台词都用《007之黄金眼》在吐槽“ICAC，文职而已，你又拿枪又穿防弹衣，007咩？”。这样一结合，很难不黄豆流汗。这不是自嘲，是缺乏想象力的真实写照，拍到最后和速激一样偏题出银河系，跟恐怖分子干架，各种火拼爆炸，飞虎队的事全干了个遍，有必要吗？（另外海报欺诈，古天乐全程就没端过自动武器）
26,内陆飞鱼,"['allstar40', 'rating']",推荐,2022-01-01 19:47:47,喜欢夏嫣饰演的Tammy谭美莉。
27,小李り,"['allstar20', 'rating']",较差,2021-12-31 21:39:30,"是我期望过高了，配音听得我想吐。认真吐槽一下：
     郑嘉颖开始不是想让弟弟转作污点证人吗，为什么还要帮弟弟逃走呢？？ 
     结尾时候张智霖中了三枪，和没事人一样，你中了三枪，三枪呀，有一枪还在左边心脏位置😒。
     天文馆的打斗戏，反派火力那么足，还抓不到庞法官，所以最后死了只能是你们智商不行。
     最后法院判决之后，被拐卖的女人在记者和警察面前持刀把初沐捅死了，看到这我真的笑了，还没完，初沐转手又把谢天华捅死了，谢天华可是幕后金主大佬，就这战力？？
     无语了这逻辑，把我们观众当傻子呢🙄
     不过再表白一下，宣萱好美😘"
28,居无间,"['allstar20', 'rating']",较差,2021-12-31 19:19:47,看了等于没看系列。如果回望的话，整套《反贪风暴》唯一把设定做出样子来的是借鉴了《监狱风云》的《反贪4：P风暴》。
29,阿孝咕,"['allstar20', 'rating']",较差,2022-01-02 00:23:52,"这TMD哪是反贪啊？这TMD是反恐!
大开特开的不死光环，随处可见的噪点，粗糙的五毛特效和廉价的字体，肉眼可见的粗糙滥制，一眼看过去都是老脸熟，香港真的没什么新人了?黄宗泽和刘冠廷是不是双胞胎兄嘚?到底什么玻璃那么硬啊？！可恶!"
30,I can fly,"['allstar50', 'rating']",力荐,2022-01-02 20:29:09,古仔好帅！
31,Xaviera,"['allstar10', 'rating']",很差,2021-12-31 22:30:06,喂大佬啊，人人赶收工都唔洗拍成咁吧？全程乱剪毫无章法，各种快切+无厘头慢镜头+匪夷所思大特写，枪战砰砰砰到头都晕，有部分镜头定焦都无定好，字幕好似后期补，写死D角色简直随便到睇完就只有一个反应：哈，搞错啊？！就咁啊？！敷衍程度比追虎擒龙仲差真系服，2021最后一部睇呢部，快柒D再见吧
32,没啵,"['allstar40', 'rating']",推荐,2021-12-31 19:44:18,最后一部了，很不舍，依旧水准之上的作品，很精彩
33,珠我好运,"['allstar20', 'rating']",较差,2022-01-01 21:26:00,"导演和编剧挺不容易的，居然倒腾了五部出来，虽然1-3部没看过，这最后一集也太水了，连4都不如，剧情节奏跟集市赶场子一样。
一星给郑嘉颖，一星给客串的廖启智智叔。"
